Mandarin,Meaning
搬,to carry
面包,bread
啊,“a”(exclamation)
周末,weekend
打算,plan
跟,with
复习,to review
作业,homework
着急,anxious
一直,all the time
游戏,game
南,south
带,to bring
地图,map
疼,to feel pain
瘦,skinny
胖,fat
拿,"to grab, to take"
容易,easy
难,difficult
把,measure word for things with handles
伞,umbrella
脚,foot
腿,leg
树,tree
辆,measure word for cars
其实,"actually, in fact"
楼,building
经理,manager
办公室,office
爬山,to hike a mountain
条,measure word for things that are long and soft
裤子,pants
记得,to remember
新鲜,fresh
舒服,comfortable
还是,or
或者,or
衬衫,shirt
花,flower
甜,sweet
绿,green
小心,careful
只,"only, solely"
放,to put
超市,supermarket
蛋糕,cake
年级,grade
饿,hungry
年轻,young
认真,serious
聪明,smart
热情,"warm, enthusiastic"
努力,hard-working
又,and
照片,photo
比赛,competition
总是,always
站,to stand
客人,customer
草,grass
裙子,skirt
发烧,to have a fever
感冒,to catch a cold
季节,season
当然,of course
为,for
照顾,take care of
最近,these days
用,need
越,more
眼镜,glasses
帮忙,to help
离开,to leave
突然,suddenly
明白,clear
清楚,clear
特别,especially
讲,to explain
公园,park
锻炼,to exercise
音乐,music
刚才,just now
更,more
银行,bank
迟到,to be late
久,long time
半,half
刻,quarter hour
差,to fall short of
结婚,to get married
同事,colleague
接,to pick up (a person)
以前,"before, ago"
熊猫,panda
老,old (age)
安静,quiet
满意,to be satisfied
见面,to meet
马上,immediately
一会儿,moment
又,again
电梯,elevator
层,measure word - level
洗手间,bathroom
健康,healthy
害怕,to be afraid
变化,change
重要,important
几乎,almost
班,class
一样,"same, as... as..."
放心,to rest assured
一定,definitely
担心,to worry
比较,"fairly, comparatively"
了解,to be familar with
先,first
中间,in the middle
参加,to participate
影响,influence
矮,short
历史,history
体育,"PE, sports"
数学,maths
方便,convenient
附近,nearby
骑,to ride
旧,old
换,to exchange
地方,place
主要,main
环境,environment
图书馆,library
借,"to borrow, to lend"
会议,"a meeting, conference"
结束,"to end, to finish"
关,"to turn off, to close"
灯,"light, lamp"
空调,air conditioner
忘记,to forget
地铁,"subway, metro"
啤酒,beer
口,measure word - a mouthful
筷子,chopsticks
双,measure word - a pair of
电子邮件,email
习惯,"habit, to be used to"
太阳,the sun
西,west
自己,oneself
护照,passport
发现,to discover
生气,angry
黑板,blackboard
行李箱,luggage
包,bag
司机,driver
画,"to draw, to paint"
教,to teach
需要,to need
礼物,"gift, present"
奶奶,grandmother
爷爷,grandfather
校长,"school principal, headmaster"
过去,the past
终于,finally
坏,broken
遇到,"to encounter, to run into"
一般,"in general, usual"
应该,should
愿意,be willing to
经常,often
一边,adv. indicating two actions taking place at the same time
冰箱,refrigerator
干净,clean
打扫,"to clean, to sweep"
洗澡,to take a shower or bath
叔叔,uncle
阿姨,aunt
节目,"program (TV, performance)"
故事,story
月亮,the moon
盘子,plate
像,to be like
刮风,to be windy
声音,"sound, voice"
香蕉,banana
菜单,menu
简单,simple
然后,"then, afterwards"
街道,street
上网,to get online
新闻,news
世界,world
文化,culture
节日,festival
其他,"the rest, others"
除了,"except, other than"
水平,"level, standard"
提高,to improve
练习,exercise
完成,to complete
句子,sentence
要求,requirement
注意,to pay attention to
花,to spend
城市,city
帽子,"hat, cap"
检查,"to check, to examine"
别人,other people
关系,relationship
如果,"if, in case"
鼻子,nose
头发,hair
可爱,"lovely, adorable"
认为,"to think, to believe"
刷牙,to brush the teeth
米,metre
邻居,neighbour
饱,"full, having
eaten one's fill"
口,mouth
渴,thirsty
爱好,"hobby, interest"
办法,"way, approach"
为了,for the sake of
一共,in total
决定,to decide
选择,to choose
必须,must
根据,"according to,
based on"
动物,animal
只,measure word used for animals and body parts
种,"kind, type"
段,measure word used for sections or periods
同意,to agree
相信,to believe
奇怪,"strange, odd"
地,particle: adverb + de + verb
国家,"country, nation"
有名,famous
机会,opportunity
万,10
关于,"about, regarding"
马,horse
鸟,bird
耳朵,ear
脸,face
蓝,blue
哭,to cry
短,short
位,respectful measure word for people
经过,to pass
碗,bowl
照相机,camera
解决,to solve
关心,"to care for, to be interested in"
被,preposition for passive voice
成绩,grade (academic performance)
分,to distinguish
东,east
多么,"very, to a great extent"
难过,sad
北方,Northern direction
表示,"to express, to indicate"
表演,to perform
才,just
出现,to appear
厨房,kitchen
春,spring
词语,word
低,low
冬,winter
而且,furthermore
敢,"to dare, to have the courage to"
果汁,fruit juice
还,"and, yet"
河,river
花园,garden
黄,yellow
极,extreme
角,corner
举行,to hold a meeting/ceremony
面条,noodle
葡萄,grape
普通话,Mandarin
秋,autumn
虽然,although
糖,sugar
相同,same
鞋,shoe
信,"letter, to belive"
兴趣,interest
以后,afterwards
以为,to be under the (false) impression that...
云,cloud
长,long
祝,"to wish (someone good health, etc)"
字典,dictionary
作用,effect
